user,location,text
ahuramazdacol,Vía Láctea,@MariaFdaCabal Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
AlvaritoMonsal2,,"@QuinteroCalle Unidos por un renacer, con Petro. #ElCambioEnPrimera ."
CacerolaR,,Progresismo latinoamericano unido. A ganarle al abstencionismo! los jóvenes son el futuro y son los que pondrán pre… https://t.co/r52d0IcTTz
whl_col,"Villamaría, Colombia",Pasar por encima de las instituciones. ¿Este es el cambio? #elcambioesenprimera #ElCambioEnPrimera si usted vota po… https://t.co/UhIGAu15Kr
carlossotom70,,"Colombia la tiene clara✅
Mi voto es por @petrogustavo y @FranciaMarquezM 
#PetroPresidenteEnPrimera… https://t.co/Lpc3uvH3Tx"
Cambioalafuerza,,@Axelper45 @esotilongus Será que lo estás haciendo bien #ElCambioEnPrimera
aacevedof,,"Eso. Cero confianza! Hay que salir a votar el 29 temprano! 
#ElCambioEnPrimera ✊🏽🗳 https://t.co/twpXw6k7SD"
LuisEvelioBedo2,,#YoSoyQuintero .#ElCambioEnPrimera .está corrupción de este narco estado no irá más.
DuqueGmezCarlo1,,@Alex_RuaP @Alex_RuaP  Estamos de acuerdo #QuesancionenAlpresidente  #ElCambioEnPrimera  #PetroPresidenteEnPrimera… https://t.co/22YjXByLfH
ArangoTeodoro,,"@QuinteroCalle Juntos por la transformación, con el pacto de la esperanza. #ElCambioEnPrimera ."
El_Baron__Rojo,,"@QuinteroCalle Juntos a sacar adelante al país, con el Pacto Histórico. #ElCambioEnPrimera ."
EliasLavoz1,Bogota,#ElCambioEnPrimera y se estrelló en primera 😂😂😂
_JohnnyRamiirez,Colombia * Pereira! ,#EnElCora #ElCambioEnPrimera Si se puede. No permitiremos que se repita la historia. #EsAhoraONunca https://t.co/gHKkLiNwci
RCA301,,Vamos todos #ElCambioEnPrimera https://t.co/ZpCmLqp1iU
Cambioalafuerza,,@sergiobarbosach La Justicia se está acercando #ElCambioEnPrimera
goesoscar,,"#ElCambioEnPrimera
HP procuradora, el cambio es en primera Petro Presidente 🤬"
CanecaMendoza,,"@QuinteroCalle Todos por un país nuevo, con el Pacto Histórico. #ElCambioEnPrimera ."
mortega_avila,"Bogotá, Colombia",Resultó ser muy efectiva la campaña #ElCambioEnPrimera
julianperroD," Caldas, Colombia","Muy  a regaña dientes le damos la bienvenida al Pacto Histórico a la procuradora Descabellada, espero siga aportando. #ElCambioEnPrimera"
AmarillaMacias,,"@QuinteroCalle Como familia a generar empleo digno, con Francia Márquez. #ElCambioEnPrimera ."
yolandita2101,,"@Zuletalleras Golpe de estado está claro, dió la orden el matarife, pero se jodieron el pueblo ya no tiene miedo,… https://t.co/EUiHw2Tarr"
olmave29,,Los que hicimos curso de conducción sabemos que #ElCambioEnPrimera https://t.co/vKZx6F7Y60
jjsolano71,"Cali, Colombia","A las ratas del uribismo les tocó reconocer, con el auto de la procuradora ""mano negra"" que el verdadero CAMBIO es… https://t.co/LGhLql4BEE"
Rosmery_Gom,,"@QuinteroCalle Con esperanza a generar empleo digno, con Petro y Francia. #ElCambioEnPrimera ."
Cambioalafuerza,,@Jojare2 @EpicuroDeSamos_ Vamos Colombia #ElCambioEnPrimera
RCA301,,#ElCambioEnPrimera vamos con toda en primera vuelta https://t.co/Lp24XTfHAr
pedrohflorez,"Barranquilla, Colombia",El 29 de mayo tenemos la oportunidad de transformar el país de la mano de un presidente costeño que lleva el mar y… https://t.co/CpYsDeRqdN
Parceriwafer1,,"@QuinteroCalle Todos por un país nuevo, con el pacto de la transparencia. #ElCambioEnPrimera ."
