user,location,text
chuchoindie,bogota,@DonJuanGiraldo jamming &gt; roba de votos ?
Sebasti21661335,"Medellín, Colombia","Repito me duele lo que pasó con los comerciantes y emprendedores de Ibagué por lo del jamming ,pero de resto más qu… https://t.co/Bn9RYPJuWa"
paprika19682000,bogota,"Acaban de informar algunas personas que van a cerrar las vía principal de IBAGUE, para que el Gobierno Nacional obl… https://t.co/25RoS5KY2b"
contracomu,,@GinaTor70192404 @KsaBabylon Como los que tampoco irán al Jamming
AnderDGL,"Medellín, Colombia🇨🇴","Cancelan el Jamming, la gente va reclamar hasta del extranjero, se va a protestar donde el organizador y las ""autor… https://t.co/74remN7Lfx"
Big_D3639,,Uyyy como así que @IvanDuque fue el que cancelo el Jamming festival para poder tapar el fraude de las elecciones?
korn4u9,"Medellín, Colombia",No hay Jamming pero hay Clásico y Fórmula 1 y para los pobres eso nos basta y nos sobra 😌😌😌😌😌😌😌😌
laupita05,Bogotá,@mauricio_460 @sebastian_by97 A lo bien le va a meter política a esta monda? Coja oficio hermano! Esto es mera avar… https://t.co/xbXBPP50dM
radiosantafentc,"Colombia, Bogotá",Lanzan plataforma para apoyar a emprendedores afectados por cancelación del Jamming Festival https://t.co/wsf5PxiSGl
AndresFrancoBur,"Ibagué, Colombia","Me hace muy feliz ver cómo todo el mundo está ayudando a los afectados por la cancelación de lo del Jamming. 
Me ha… https://t.co/EU6r28Gj4t"
dtoroavila,"Bogotá, Colombia","#jammingfestival me suena a copia de la famosa estafa Fyre Festival! , ya quiero documental @NetflixLAT… https://t.co/9oawsH9WnL"
quesitopera,"Bogotá, D.C., Colombia",Ni siquiera el Jamming. https://t.co/jjyiBvqizx
linamapola,"Bogotá, Colombia",Ya hicieron una playlist de la cancelación del Jamming en Spotify?
AndresCamiloEsc,,"Que gonorrea lo del Jamming, otra vez que me salvo por pobre xd"
2610vmr,"Cali, Colombia","Saben que? Yo debo decir que a mí el Jamming me respondió por mi dinero cuando solicité la devolución, me contestar… https://t.co/c3CfI00M1k"
RompeRutinas,,@mauricio424 @JohaFuentes Casa Babylon es un bar donde se desarrolló el colectivo el cual inicio el jamming hace 10… https://t.co/8uqsx4A64J
eunwyv,joha | she 18,EL JAMMING ETA EN IBAGUE?!?? pobre la gente q se pego severo viaje
